NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
i=84,Root,Root,Root,Object,,,,0,0,False,2025-11-04T15:23:11.817943
i=87,Views,Views,Root/Views,Object,,,i=84,1,0,False,2025-11-04T15:23:11.819950
i=85,Objects,Objects,Root/Objects,Object,,,i=84,1,0,False,2025-11-04T15:23:11.820945
i=2253,Server,Server,Root/Objects/Server,Object,,,i=85,2,0,True,2025-11-04T15:23:11.822943
i=2254,ServerArray,ServerArray,Root/Objects/Server/ServerArray,Variable,String,,i=2253,3,0,True,2025-11-04T15:23:11.825943
i=2255,NamespaceArray,NamespaceArray,Root/Objects/Server/NamespaceArray,Variable,String,,i=2253,3,0,True,2025-11-04T15:23:11.827945
i=2256,ServerStatus,ServerStatus,Root/Objects/Server/ServerStatus,Variable,Type862,,i=2253,3,0,True,2025-11-04T15:23:11.831944
i=2257,StartTime,StartTime,Root/Objects/Server/ServerStatus/StartTime,Variable,DateTime,,i=2256,4,0,False,2025-11-04T15:23:11.833944
i=2258,CurrentTime,CurrentTime,Root/Objects/Server/ServerStatus/CurrentTime,Variable,DateTime,,i=2256,4,0,False,2025-11-04T15:23:11.836944
i=2259,State,State,Root/Objects/Server/ServerStatus/State,Variable,Int32,,i=2256,4,0,False,2025-11-04T15:23:11.838944
i=2992,SecondsTillShutdown,SecondsTillShutdown,Root/Objects/Server/ServerStatus/SecondsTillShutdown,Variable,UInt32,,i=2256,4,0,False,2025-11-04T15:23:11.840943
i=2993,ShutdownReason,ShutdownReason,Root/Objects/Server/ServerStatus/ShutdownReason,Variable,LocalizedText,,i=2256,4,0,False,2025-11-04T15:23:11.844946
i=2260,BuildInfo,BuildInfo,Root/Objects/Server/ServerStatus/BuildInfo,Variable,Type338,,i=2256,4,0,False,2025-11-04T15:23:11.848946
i=2262,ProductUri,ProductUri,Root/Objects/Server/ServerStatus/BuildInfo/ProductUri,Variable,String,,i=2260,5,0,False,2025-11-04T15:23:11.850945
i=2263,ManufacturerName,ManufacturerName,Root/Objects/Server/ServerStatus/BuildInfo/ManufacturerName,Variable,String,,i=2260,5,0,False,2025-11-04T15:23:11.852945
i=2261,ProductName,ProductName,Root/Objects/Server/ServerStatus/BuildInfo/ProductName,Variable,String,,i=2260,5,0,False,2025-11-04T15:23:11.854944
i=2264,SoftwareVersion,SoftwareVersion,Root/Objects/Server/ServerStatus/BuildInfo/SoftwareVersion,Variable,String,,i=2260,5,0,False,2025-11-04T15:23:11.858944
i=2265,BuildNumber,BuildNumber,Root/Objects/Server/ServerStatus/BuildInfo/BuildNumber,Variable,String,,i=2260,5,0,False,2025-11-04T15:23:11.860944
i=2266,BuildDate,BuildDate,Root/Objects/Server/ServerStatus/BuildInfo/BuildDate,Variable,DateTime,,i=2260,5,0,False,2025-11-04T15:23:11.863945
i=2267,ServiceLevel,ServiceLevel,Root/Objects/Server/ServiceLevel,Variable,Byte,,i=2253,3,0,False,2025-11-04T15:23:11.865945
i=11715,Namespaces,Namespaces,Root/Objects/Server/Namespaces,Object,,,i=2253,3,0,True,2025-11-04T15:23:11.867944
i=15957,http://opcfoundation.org/UA/,http://opcfoundation.org/UA/,Root/Objects/Server/Namespaces/http://opcfoundation.org/UA/,Object,,,i=11715,4,0,False,2025-11-04T15:23:11.869945
i=15958,NamespaceUri,NamespaceUri,Root/Objects/Server/Namespaces/http://opcfoundation.org/UA//NamespaceUri,Variable,String,,i=15957,5,0,True,2025-11-04T15:23:11.873945
i=15959,NamespaceVersion,NamespaceVersion,Root/Objects/Server/Namespaces/http://opcfoundation.org/UA//NamespaceVersion,Variable,String,,i=15957,5,0,True,2025-11-04T15:23:11.875943
i=15960,NamespacePublicationDate,NamespacePublicationDate,Root/Objects/Server/Namespaces/http://opcfoundation.org/UA//NamespacePublicationDate,Variable,DateTime,,i=15957,5,0,True,2025-11-04T15:23:11.880944
i=15961,IsNamespaceSubset,IsNamespaceSubset,Root/Objects/Server/Namespaces/http://opcfoundation.org/UA//IsNamespaceSubset,Variable,Boolean,,i=15957,5,0,True,2025-11-04T15:23:11.883948
i=15962,StaticNodeIdTypes,StaticNodeIdTypes,Root/Objects/Server/Namespaces/http://opcfoundation.org/UA//StaticNodeIdTypes,Variable,Int32,,i=15957,5,0,False,2025-11-04T15:23:11.886950
i=15963,StaticNumericNodeIdRange,StaticNumericNodeIdRange,Root/Objects/Server/Namespaces/http://opcfoundation.org/UA//StaticNumericNodeIdRange,Variable,String,,i=15957,5,0,False,2025-11-04T15:23:11.889948
i=15964,StaticStringNodeIdPattern,StaticStringNodeIdPattern,Root/Objects/Server/Namespaces/http://opcfoundation.org/UA//StaticStringNodeIdPattern,Variable,String,,i=15957,5,0,False,2025-11-04T15:23:11.891948
i=2994,Auditing,Auditing,Root/Objects/Server/Auditing,Variable,Boolean,,i=2253,3,0,False,2025-11-04T15:23:11.894949
i=2268,ServerCapabilities,ServerCapabilities,Root/Objects/Server/ServerCapabilities,Object,,,i=2253,3,0,True,2025-11-04T15:23:11.895948
i=2269,ServerProfileArray,ServerProfileArray,Root/Objects/Server/ServerCapabilities/ServerProfileArray,Variable,String,,i=2268,4,0,True,2025-11-04T15:23:11.898450
i=3704,SoftwareCertificates,SoftwareCertificates,Root/Objects/Server/ServerCapabilities/SoftwareCertificates,Variable,Type344,,i=2268,4,0,False,2025-11-04T15:23:11.901454
i=2271,LocaleIdArray,LocaleIdArray,Root/Objects/Server/ServerCapabilities/LocaleIdArray,Variable,String,,i=2268,4,0,False,2025-11-04T15:23:11.903455
i=2272,MinSupportedSampleRate,MinSupportedSampleRate,Root/Objects/Server/ServerCapabilities/MinSupportedSampleRate,Variable,Double,,i=2268,4,0,False,2025-11-04T15:23:11.905455
i=2735,MaxBrowseContinuationPoints,MaxBrowseContinuationPoints,Root/Objects/Server/ServerCapabilities/MaxBrowseContinuationPoints,Variable,UInt16,,i=2268,4,0,False,2025-11-04T15:23:11.907455
i=2736,MaxQueryContinuationPoints,MaxQueryContinuationPoints,Root/Objects/Server/ServerCapabilities/MaxQueryContinuationPoints,Variable,UInt16,,i=2268,4,0,False,2025-11-04T15:23:11.910455
i=2737,MaxHistoryContinuationPoints,MaxHistoryContinuationPoints,Root/Objects/Server/ServerCapabilities/MaxHistoryContinuationPoints,Variable,UInt16,,i=2268,4,0,False,2025-11-04T15:23:11.912456
i=2996,ModellingRules,ModellingRules,Root/Objects/Server/ServerCapabilities/ModellingRules,Object,,,i=2268,4,0,False,2025-11-04T15:23:11.914456
i=78,Mandatory,Mandatory,Root/Objects/Server/ServerCapabilities/ModellingRules/Mandatory,Object,,,i=2996,5,0,False,2025-11-04T15:23:11.915454
i=80,Optional,Optional,Root/Objects/Server/ServerCapabilities/ModellingRules/Optional,Object,,,i=2996,5,0,False,2025-11-04T15:23:11.917455
i=83,ExposesItsArray,ExposesItsArray,Root/Objects/Server/ServerCapabilities/ModellingRules/ExposesItsArray,Object,,,i=2996,5,0,False,2025-11-04T15:23:11.918455
