NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio,Studio,Studio,Studio,Object,,,i=85,2,2,False,2025-11-04T15:33:45.695763
ns=2;s=Studio.Tags,Tags,Tags,Studio/Tags,Object,,,ns=2;s=Studio,3,2,False,2025-11-04T15:33:45.696789
ns=2;s=Studio.Tags.System,System,System,Studio/Tags/System,Object,,,ns=2;s=Studio.Tags,4,2,False,2025-11-04T15:33:45.697837
ns=2;s=Studio.Tags.System.Date,Date,Date,Studio/Tags/System/Date,Variable,String,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.700854
ns=2;s=Studio.Tags.System.Time,Time,Time,Studio/Tags/System/Time,Variable,String,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.703745
ns=2;s=Studio.Tags.System.Hour,Hour,Hour,Studio/Tags/System/Hour,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.706483
ns=2;s=Studio.Tags.System.Minute,Minute,Minute,Studio/Tags/System/Minute,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.707604
ns=2;s=Studio.Tags.System.Second,Second,Second,Studio/Tags/System/Second,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.710542
ns=2;s=Studio.Tags.System.Day,Day,Day,Studio/Tags/System/Day,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.712609
ns=2;s=Studio.Tags.System.Month,Month,Month,Studio/Tags/System/Month,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.715630
ns=2;s=Studio.Tags.System.Year,Year,Year,Studio/Tags/System/Year,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.717620
ns=2;s=Studio.Tags.System.DayOfYear,DayOfYear,DayOfYear,Studio/Tags/System/DayOfYear,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.719617
ns=2;s=Studio.Tags.System.Weekday,Weekday,Weekday,Studio/Tags/System/Weekday,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.722607
ns=2;s=Studio.Tags.System.Yesterday,Yesterday,Yesterday,Studio/Tags/System/Yesterday,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.724607
ns=2;s=Studio.Tags.System.Tomorrow,Tomorrow,Tomorrow,Studio/Tags/System/Tomorrow,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.726501
ns=2;s=Studio.Tags.System.Alarm,Alarm,Alarm,Studio/Tags/System/Alarm,Variable,String,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.728604
ns=2;s=Studio.Tags.System.BlinkSlow,BlinkSlow,BlinkSlow,Studio/Tags/System/BlinkSlow,Variable,Boolean,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.730607
ns=2;s=Studio.Tags.System.BlinkFast,BlinkFast,BlinkFast,Studio/Tags/System/BlinkFast,Variable,Boolean,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.732632
ns=2;s=Studio.Tags.System.AckAlr,AckAlr,AckAlr,Studio/Tags/System/AckAlr,Variable,Boolean,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.734620
ns=2;s=Studio.Tags.System.AckAll,AckAll,AckAll,Studio/Tags/System/AckAll,Variable,Boolean,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.736658
ns=2;s=Studio.Tags.System.UserName,UserName,UserName,Studio/Tags/System/UserName,Variable,String,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.738611
ns=2;s=Studio.Tags.System.GroupName,GroupName,GroupName,Studio/Tags/System/GroupName,Variable,String,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.740604
ns=2;s=Studio.Tags.System.GroupLoLevel,GroupLoLevel,GroupLoLevel,Studio/Tags/System/GroupLoLevel,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.743572
ns=2;s=Studio.Tags.System.GroupHiLevel,GroupHiLevel,GroupHiLevel,Studio/Tags/System/GroupHiLevel,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.745608
ns=2;s=Studio.Tags.System.GroupCNFLoLevel,GroupCNFLoLevel,GroupCNFLoLevel,Studio/Tags/System/GroupCNFLoLevel,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.748609
ns=2;s=Studio.Tags.System.GroupCNFHiLevel,GroupCNFHiLevel,GroupCNFHiLevel,Studio/Tags/System/GroupCNFHiLevel,Variable,Int32,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.751625
ns=2;s=Studio.Tags.System.AnalogValue_,AnalogValue_,AnalogValue_,Studio/Tags/System/AnalogValue_,Variable,Double,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.753555
ns=2;s=Studio.Tags.System.DigitalValue_,DigitalValue_,DigitalValue_,Studio/Tags/System/DigitalValue_,Variable,Boolean,,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:33:45.755607
ns=2;s=Studio.Tags.System.ServerTime_,ServerTime_,ServerTime_,Studio/Tags/System/ServerTime_,Variable,String,,ns=2;s=Studio.Tags.System,5,2,True,2025-11-04T15:33:45.759634
ns=2;s=Studio.Tags.System.ServerDate_,ServerDate_,ServerDate_,Studio/Tags/System/ServerDate_,Variable,String,,ns=2;s=Studio.Tags.System,5,2,True,2025-11-04T15:33:45.761608
ns=2;s=Studio.Tags.Application,Application,Application,Studio/Tags/Application,Object,,,ns=2;s=Studio.Tags,4,2,False,2025-11-04T15:33:45.762614
ns=2;s=Studio.Tags.Application.Argus_7SR10,Argus_7SR10,Argus_7SR10,Studio/Tags/Application/Argus_7SR10,Object,,,ns=2;s=Studio.Tags.Application,5,2,False,2025-11-04T15:33:45.765612
ns=2;s=Studio.Tags.Application.Argus_7SR10[0],[0],[0],Studio/Tags/Application/Argus_7SR10/[0],Object,,,ns=2;s=Studio.Tags.Application.Argus_7SR10,6,2,False,2025-11-04T15:33:45.766606
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].Auto_reclose_active,Auto_reclose_active,Auto_reclose_active,Studio/Tags/Application/Argus_7SR10/[0]/Auto_reclose_active,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.769610
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].CB_1,CB_1,CB_1,Studio/Tags/Application/Argus_7SR10/[0]/CB_1,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.771608
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].CB_1_Closed,CB_1_Closed,CB_1_Closed,Studio/Tags/Application/Argus_7SR10/[0]/CB_1_Closed,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.773626
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].CB_1_Opened,CB_1_Opened,CB_1_Opened,Studio/Tags/Application/Argus_7SR10/[0]/CB_1_Opened,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.776604
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].Color,Color,Color,Studio/Tags/Application/Argus_7SR10/[0]/Color,Variable,Int32,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.778604
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].CosPhi,CosPhi,CosPhi,Studio/Tags/Application/Argus_7SR10/[0]/CosPhi,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.781633
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].CosPhi_L1,CosPhi_L1,CosPhi_L1,Studio/Tags/Application/Argus_7SR10/[0]/CosPhi_L1,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.783603
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].CosPhi_L2,CosPhi_L2,CosPhi_L2,Studio/Tags/Application/Argus_7SR10/[0]/CosPhi_L2,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.785619
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].CosPhi_L3,CosPhi_L3,CosPhi_L3,Studio/Tags/Application/Argus_7SR10/[0]/CosPhi_L3,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.787553
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].EActIn,EActIn,EActIn,Studio/Tags/Application/Argus_7SR10/[0]/EActIn,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.790614
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].EActOut,EActOut,EActOut,Studio/Tags/Application/Argus_7SR10/[0]/EActOut,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.792718
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].Earth_Fault_Forward_Line,Earth_Fault_Forward_Line,Earth_Fault_Forward_Line,Studio/Tags/Application/Argus_7SR10/[0]/Earth_Fault_Forward_Line,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.794718
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].ERctIn,ERctIn,ERctIn,Studio/Tags/Application/Argus_7SR10/[0]/ERctIn,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.797749
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].ERctOut,ERctOut,ERctOut,Studio/Tags/Application/Argus_7SR10/[0]/ERctOut,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.799713
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].Freq,Freq,Freq,Studio/Tags/Application/Argus_7SR10/[0]/Freq,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.801721
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].General_Start_Pick_up,General_Start_Pick_up,General_Start_Pick_up,Studio/Tags/Application/Argus_7SR10/[0]/General_Start_Pick_up,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.804750
ns=2;s=Studio.Tags.Application.Argus_7SR10[0].General_Trip,General_Trip,General_Trip,Studio/Tags/Application/Argus_7SR10/[0]/General_Trip,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[0],7,2,False,2025-11-04T15:33:45.808516
